product_name,sku,product_id,supply_price,old_count,new_count,dif,value_change,updated_at
Harvard Baseball Crew / L,11097,06e08a30-ee3d-11e7-ec24-5298b780185c,23.5,2,0,-2,-47.0,2017-07-18 16:39:36
Harvard Harbor Hoodie / M,11103,06e08a30-ee3d-11e7-ec24-58094e37380b,19.6,1,0,-1,-19.6,2017-07-18 16:39:36
Harvard Harbor Hoodie / L,11104,06e08a30-ee3d-11e7-ec24-58094e8595f4,19.6,4,-1,-5,-98.0,2017-07-18 16:39:37
Harvard Premium Quarter Zip / Navy / L,11127,06e08a30-ee3d-11e7-ec24-5c0817bb00be,16.67,3,3,0,0.0,2017-07-18 16:39:38
Harvard Crest T-Shirt / S / Crimson,264,51cfbeb9-6c0c-11e2-b1f5-4040782fde00,4.19,0,0,0,0.0,2017-07-18 16:39:38
Harvard Crest T-Shirt / M / Crimson,265,524aeaef-6c0c-11e2-b1f5-4040782fde00,4.19,8,7,-1,-4.19,2017-07-18 16:39:39
Harvard Crest T-Shirt / L / Crimson,266,528a33f1-6c0c-11e2-b1f5-4040782fde00,4.19,-4,18,22,92.18,2017-07-18 16:39:40
Harvard Crest T-Shirt / XL / Crimson,267,52d5e500-6c0c-11e2-b1f5-4040782fde00,4.19,9,12,3,12.57,2017-07-18 16:39:40
Harvard Crest T-Shirt / XXL / Crimson,268,5325c5e5-6c0c-11e2-b1f5-4040782fde00,4.19,7,8,1,4.19,2017-07-18 16:39:41
Harvard Crest T-Shirt / S / Oxford,259,53653b25-6c0c-11e2-b1f5-4040782fde00,4.19,11,10,-1,-4.19,2017-07-18 16:39:41
Harvard Crest T-Shirt / M / Oxford,260,53ae146c-6c0c-11e2-b1f5-4040782fde00,4.19,9,10,1,4.19,2017-07-18 16:39:42
Harvard Crest T-Shirt / L / Oxford,261,53f4d252-6c0c-11e2-b1f5-4040782fde00,4.19,0,9,9,37.71,2017-07-18 16:39:43
Harvard Crest T-Shirt / XL / Oxford,262,543e9bf8-6c0c-11e2-b1f5-4040782fde00,4.19,5,6,1,4.19,2017-07-18 16:39:43
Harvard Crest T-Shirt / XXL / Oxford,263,547e10b9-6c0c-11e2-b1f5-4040782fde00,4.19,5,3,-2,-8.38,2017-07-18 16:39:44
Harvard Notebook / Crimson,3841,6893efff-6c0c-11e2-b1f5-4040782fde00,2.04,0,-17,-17,-34.68,2017-07-18 16:39:44
Harvard Crest T-Shirt / M / Navy,3942,8f78ffed-6c0d-11e2-b1f5-4040782fde00,4.19,19,19,0,0.0,2017-07-18 16:39:45
Harvard Crest T-Shirt / L / Navy,3943,551cf059-6c0c-11e2-b1f5-4040782fde00,4.19,9,21,12,50.28,2017-07-18 16:39:45
